user_param_id,qid
231,5c8df-95978
232,84afc-05c27
233,22d1a-d84e1
234,6b626-178c0
235,6e08e-daa2f
236,02919-89b83
237,922d1-a4d1a
238,79efe-d0885
239,48cf7-070f4
240,4d6a8-9e304
241,28a25-6057b
242,db8f5-9a071
243,d558e-0526f
244,51884-c6d63
245,7b7f2-f44d9
246,dfeeb-4cd10
247,e15f2-0d86a
248,7b95d-14c07
249,ae50b-0abe4
250,66aa2-71585
251,edcec-5f229
252,06b05-e0bf3
253,f545a-58a85
254,404bf-71d52
255,519ea-21f37
256,2d5df-ad1aa
257,13593-c01b8
258,403db-5a868
259,5740a-5a91f
260,2d3cf-3422e
261,4ee3b-e3ff2
262,6531c-bfda3
263,59765-8cb2d
264,48e64-6a8de
265,81549-c0d79
266,c88a3-3f0e8
267,32792-685bc
268,4dabe-86a78
269,83354-ea038
270,6395b-e581d
271,db663-fb52f
272,691b4-f1603
273,5d8c2-c8bdc
274,63ada-ae82f
275,51911-878d7
276,88de0-314c7
277,43f6e-af2bc
278,87cea-8bfa1
279,31014-570ee
280,b9036-f9c1a
281,9ec3a-84ed9
282,bbcc7-fb2de
283,84300-e688b
284,b3cdf-668a1
285,0508e-89063
286,85807-cba89
287,99a74-a5b2d
288,1c2c0-2c03c
289,4a12c-a3d5b
290,84993-e8bd9
291,1fd36-7a368
292,8cb84-94ec0
293,13c72-03d8b
294,4c304-fb763
295,50bf6-c1e0b
296,07636-9d48e
297,c8ed3-aab00
298,9f3b8-393f8
299,53a0e-aed21
300,9a7c0-cfe35
301,bbdfd-0f9f9
302,c757a-cf15a
303,0881c-84026
304,51f18-d8831
305,6aeaa-c1e94
306,0affb-021c1
307,67a07-e14ab
308,4610a-21d00
309,d8787-924f2
310,31b12-48891
311,deacd-0cbd7
312,c974f-8b0a5
313,da321-848da
314,86fbc-89fea
315,dd90b-e0d3a
316,06135-1b978
317,d88b4-c214f
318,4b97d-87556
319,b3581-b5151
320,95c05-1c57d
321,785b4-c0afb
322,f55a4-78f7a
323,91a99-b6492
324,ea238-0c3b5
325,023fb-254a0
326,79e74-0a48b
327,18fd4-573db
328,7e7e5-12999
329,a8dd3-8bbc1
330,effb9-1c0a9
331,fc99b-33e26
332,721fa-63904
333,8f9bd-c7d29
334,b3cf5-3ef14
335,0566d-af0db
336,cd236-204dc
337,f7914-b1f90
338,0eeb9-c2891
339,90367-1acc5
340,97e69-12069
341,d929a-f53b2
342,364bb-e8f19
343,1abdb-4c74e
344,827a8-23ec9
345,b4196-b5c39
346,5cfcc-1d221
347,a74ff-18e53
348,51035-2bd14
349,a142c-8b6ac
350,ea7d8-d5509
351,15591-50dae
352,761b9-afe2a
353,e3b93-f8a73
354,fb83d-1797e
355,75f98-67dd1
356,3b30c-c2bb7
357,887f5-7179e
358,02bc0-2262b
359,dfc19-2a24c
360,0dc1b-3e0fe
361,37646-4444d
362,72138-663f1
363,af214-1ea66
364,91e1f-e1994
365,76154-e0d4f
366,5d269-fd521
367,869a7-be0fa
368,67b6f-cd1d5
369,066a3-2507e
370,4c1bf-c332d
371,b71c8-bfe85
372,f04d6-699f7
373,bedd5-131e3
374,2c162-b519f
375,5cc8a-4f6d8
376,90708-6dde7
377,fb655-9e9e8
378,4f67d-5f92a
379,1318c-89039
380,1d573-25da8
381,8d685-6cde7
382,c2bc2-57c21
383,e5d1c-29949
384,3077f-77ddd
385,43d30-9ab3a
386,2fe19-eff8e
387,c5447-2b27b
388,b9756-e6095
389,e3596-5a26a
390,de75a-20f73
391,acebf-f48f9
392,10146-cda5a
393,c7bf9-abadf
394,b8e35-df737
395,f1427-ca73c
396,75d38-ed038
397,5f8be-1bd6a
398,88fc3-0138b
399,75944-b27ae
400,f819e-70769
401,caa16-60a3a
402,53157-7feda
403,a5838-618af
404,4f657-47604
405,f754f-bfb1c
406,1fe2f-0ed06
407,5ef6a-206de
408,d74ea-69b13
409,c003d-db8de
410,98bc0-bb1c4
411,52a1d-7b368
412,ba403-c20bb
413,53823-c640c
414,179f3-d319c
415,f5f5e-3483b
416,c351c-1d816
417,c2429-f1b80
418,2796b-c6095
419,50ab0-2c19c
420,1a01b-dfa14
421,087a0-d67a0
422,b2ce6-22e23
423,bd8be-2d745
424,359e8-e79ea
425,ba2f6-219e6
426,6e0e8-4991a
427,c4d5e-ea9c7
428,c456f-a851f
429,b08f4-0fa4e
430,6c47f-e5dcf
431,1f3c6-4bb9d
432,4a020-71650
433,ae52f-be4cd
434,5b2a6-8f010
435,9dacd-41680
436,155d7-8718f
437,31346-6be13
438,4cf2c-ba499
439,c38c7-dfda8
440,b3785-c073e
441,27f4a-a988f
442,c7d19-bc553
443,61b57-f1d4e
444,d36c0-d491b
445,6d242-6a94b
446,15656-22011
447,be851-e9e9d
448,0ba3c-7b672
449,0610b-6731b
450,1997c-e8d80
451,90ac7-0c149
452,385e2-28459
453,72462-8e635
454,f72b4-63e4d
455,ad16e-4dfd8
456,5872a-c9fc6
457,f9792-3e669
458,10b37-dfde4
459,1e255-cdbd5
460,b4442-a268b
461,1f719-41b51
462,380a7-53da9
463,13916-93e18
464,8eebb-befa1
465,fa0f4-13841
466,e456e-ef7d2
467,016a2-50f7c
468,7e1d5-0c777
469,f41a7-c1a27
470,f69ee-2f762
471,390ba-856e8
472,21621-909da
473,1079b-487de
474,8f247-5cb8f
475,bdc5d-fbac2
476,f2793-ce4bb
477,4b4d7-d09df
478,77a0f-7173d
479,dd285-11179
480,4e415-0e70e
481,47d1a-605bf
482,62995-c2632
483,1d196-0d872
484,e0329-549ab
485,416c8-58795
486,1741f-90247
487,3bf2d-4978c
488,7588e-3f4ac
489,fa80d-c2483
490,9f7fa-119bc
491,c25a0-6f8ce
492,ee9e7-a5211
493,404ab-40ab5
494,3191f-3d721
495,1f909-0d770
496,f0a02-5c809
497,8b9e0-c624a
498,9dfb7-da685
499,c28b9-70bcf
500,6e35a-aaeea
501,69169-11d25
502,e39b7-8013f
503,57341-a7235
504,2308e-3591b
505,df01e-17bd3
506,09500-d9c42
507,ddee0-0eacc
508,5e257-82c1a
509,a1073-60ffa
510,38cb7-3410a
511,db2ea-046a8
512,e9c7c-aef4a
513,7b31c-2869c
514,6654e-fc80a
515,a6820-f3808
516,4215f-20e02
517,4ac0f-1e468
518,e3951-23da0
519,790c9-bcbf4
520,bdd6b-a784d
521,1ae55-446fc
522,35553-67fc0
523,04393-6e764
524,aa00d-35e48
525,9e208-032b9
526,4d81a-6c7e9
527,bd335-061ab
528,82b17-11068
529,de870-6349d
530,a7b79-4a8b8
531,2e6f9-be511
532,bd79c-cc410
533,46d17-516e1
534,6f4cf-cb560
535,7e1ba-21b3b
536,3c6e7-b7f60
537,8e035-652cb
538,d1e70-cd26c
539,f1603-16bb4
540,22d12-786eb
541,ad881-e388e
542,759ff-0bf08
543,60978-a0451
544,af60f-c8b9b
545,1c06b-10c33
546,2f605-0ca4d
547,f25cf-023a9
548,4f8a4-e1098
549,ca90c-0684d
550,178bb-6c53b
551,c0e93-83506
552,0951f-38c92
553,a2a84-00ab4
554,71832-9759c
555,8fbbc-6edd5
556,a611a-4c35e
557,1fd8c-8c0ea
558,19d5c-12b51
559,d6627-9a2f2
560,46d4a-6acfe
561,02c53-cad0b
562,c8ba1-b658e
563,faa37-7d486
564,9cbae-e7d6c
565,26eb9-95735
566,9fa95-49a8c
567,56686-9b5b7
568,f7de6-82174
569,8aebe-21d8e
570,3dcbb-1d1b8
571,b378c-6cab3
572,8d659-55675
573,fab79-ac1d3
574,a7a5f-34d19
575,53e6b-44a3d
576,ca2ca-5767b
577,f300e-f570d
578,3b79e-a1efc
579,bbe98-d11b9
580,d05ab-395e5
581,b0adb-6950d
582,41d4a-c4b7d
583,a5e67-9d27e
584,847b2-52ba6
585,fc7ad-d324a
586,53163-83e83
587,ebd39-3ee78
588,8f4e6-7a6cd
589,d0a28-1c79c
590,91d3d-8bd1e
591,d71e6-397bd
592,8d283-707ad
593,6059d-8c2ff
594,30f0d-5ebef
595,2182e-77305
596,f3695-5428a
597,2604b-6236a
598,05120-75344
599,92ba8-72fb5
600,5f9f4-4870e
601,32111-f60c9
602,8c33b-702b5
603,88b9a-facfc
604,1480a-31fd4
605,48e75-92b0a
606,f8817-8c356
607,973ee-68c85
608,165a2-41391
609,89e5c-c7bec
610,5f149-8d9fc
611,e62d3-c8bc6
612,de1ec-613b6
613,411cc-99391
614,f3761-83418
615,cc4ab-805a8
616,39fc2-4cf31
617,4bd2a-88f08
618,89bd2-b1b64
619,14fac-865b7
620,2e396-11379
621,64b24-60314
622,7e92c-e2179
623,3ca47-178f1
624,06671-778af
625,20e45-991ee
626,241ae-b507e
627,4657a-baf22
628,bc602-ff810
629,178f0-30ee8
630,6bdd5-fcb8c
631,3774d-c7bbf
632,cd2b1-dde8a
633,2c85b-4d073
634,fe5bb-1d3d8
635,466aa-95b71
636,d31f6-54975
637,2f5c5-ff156
638,7d95d-b506d
639,c5ddf-dde81
640,17a3f-1ec02
641,eaed1-26b03
642,b1714-2197b
643,316bd-952c3
644,ef76f-2841e
645,d1809-a8315
646,5ba8c-70cdc
647,f105c-922af
648,fae33-69a70
649,950d6-dd0c0
650,531ed-baa8b
651,1d242-d45a8
652,69dd8-e087d
653,7603e-2e600
654,f9132-55d90
655,be4f1-db585
656,f5e01-f5027
657,bd356-07037
658,1dfe7-23331
659,38577-1497b
660,1ac2d-cba97
661,9ae23-6bb09
662,a15c7-434af
663,10890-ca0f4
664,ccceb-7a4da
665,b00f3-8147b
666,0f20a-e839d
667,357c2-bb446
668,85f0e-8232c
669,6f370-0c50f
670,ba8f5-c8bc7
671,01207-6e074
672,4bcaf-1a13b
673,30f46-de4d7
674,9cf3b-76901
675,4c2c7-50ddd
676,47418-b608b
677,076ee-6c86d
678,0b750-83098
679,c5df1-fd5ff
680,ced2f-33a3c
681,c2ecb-671bd
682,215c0-4f445
683,dc011-cb2bb
684,e9754-6646a
685,d010f-19060
686,e1065-931e8
687,3a32b-7ee8f
688,c1cde-d650a
689,b0e1a-ac72f
690,f7b6e-77f18
691,0b152-ffa4e
692,a0b43-a8c27
693,f7b26-e534d
694,8498c-b6911
695,55ea2-e1589
696,b9905-0548e
697,b1eb5-fd28b
698,9583c-8309b
699,26838-79d0e
700,fcfc6-32a4c
701,4e6f8-99df7
702,90754-93ecf
703,df30e-72c10
704,0a2b4-0d83f
705,22d9a-a7347
706,d37df-cfecc
707,fe361-009c2
708,adff7-65dd3
709,3af7a-37e28
710,3f8db-2dd30
711,1e203-dbe7e
712,14d63-828eb
713,54e6b-71c19
714,d1573-d898c
715,6f091-df3c8
716,84d53-11d79
717,b2dae-fe8b3
718,a8ffa-d5531
719,85716-b3a43
720,60870-16493
721,7ea6c-ce670
722,882c6-bc3d0
723,a5cb0-010ec
724,c35e7-7b25c
725,12efa-a51c1
726,ab945-818d2
727,0a48a-8a64b
728,e0f26-d215e
729,5eeac-48bfa
730,0d1f5-5cfcb
731,66632-e3ec1
732,fa317-e4ae7
733,7c0b1-80530
734,25e22-d8571
735,f2ca3-092f5
736,bdda2-c0b94
737,5d803-089b3
738,8694e-ad00f
739,9e6ff-e2d18
740,56f76-ed469
741,79714-412f4
742,d0c41-c0214
743,f0e5a-8f735
744,ccb21-dd824
745,34324-8c996
746,b6abd-77e53
747,4f756-e2ccd
748,64f68-4401e
749,2b94d-46a87
750,34419-f641e
751,ff291-8bba1
752,ba661-9b0ab
753,79526-d5359
754,174d6-d2af7
755,f9ec5-347d4
756,ce0bd-d43b2
757,f243f-55d0e
758,6551c-7d036
759,48715-2e966
760,b19f3-6549a
761,0215f-776b9
762,461d9-74527
763,4e569-2ef48
764,167df-79be9
765,d78e7-dc555
766,dd58e-5d4fd
767,6d067-c893d
768,a16ca-d7958
769,3933d-07edc
770,e91cd-71731
771,3b7a9-e1f62
772,daffe-6630b
773,6c9c0-7a313
774,11939-4ec2d
775,9aef0-5331f
776,c27b0-06f4a
777,569c4-d8c0a
778,0cd73-5e175
779,71ec1-a663d
780,a9344-8c829
781,b61b0-8312c
782,6f88c-5710c
783,1ecd1-4da15
784,0c902-3eba3
785,868f4-de3c5
786,3e663-89686
787,7a0be-83a9a
788,d1df4-378ca
789,b31a8-0f246
790,183d5-2c69e
791,b4d1b-209fa
792,d4b42-49b39
793,ad9db-fe529
794,363c2-52b24
795,3986c-dc47b
796,3d62e-177b2
797,679eb-8b986
798,419ce-f69cf
799,bb669-7f522
800,d39be-cbf35
801,80f7b-06548
802,14b62-f515d
803,50ea2-dee8a
804,02981-61bf3
805,0f36a-b6a14
806,26197-6dbd3
807,962a6-a4b29
808,a329d-9361e
809,6bf7e-6b1dd
810,9dc2e-73114
811,49de8-0822f
812,54f69-d995c
813,eda86-44af6
814,d2995-32dc5
815,dcbd6-4c944
816,0271c-e887a
817,18084-90e66
818,31b09-409da
819,0a8b9-773bf
820,51b6e-185e9
821,a3123-ea027
822,596ad-7dd52
823,a1531-dd5b1
824,6cf2f-8eb40
825,77936-aab05
826,edb69-7ef0f
827,458b7-323a7
828,cdb07-a5192
829,a3741-f9515
830,ea297-d5d57
831,d875e-17b0f
832,f75cb-a8ed3
833,b8d9d-1ad3e
834,8c6b7-e4e04
835,41dcd-81783
836,fe967-4baf2
837,f02b2-9f875
838,1b3d5-95d05
839,50a56-9ce88
840,023ec-26788
841,b37c4-12503
842,f5705-868df
843,c55fd-0df0c
844,060cf-a53ea
845,31602-faeff
846,6f5fa-484b0
847,a3d48-990fa
848,97f03-5f04e
849,627d3-e169f
850,d5bbf-61be9
851,b38d2-7fbf1
852,1c7be-f2fed
853,962a5-25b49
854,3267f-f23e6
855,c3e78-e4d5d
856,bf0c9-95e11
857,46eaa-80efa
858,07219-e63da
859,96551-8fa0d
860,7f93f-bf759
861,fca27-e07df
862,e48c6-edea7
863,fc0fa-44f5f
864,0de08-aa079
865,d0aca-d1547
866,728e1-5fcaf
867,6c013-9196e
868,e83e4-2b13c
869,c7cb0-d8c97
870,b5274-79a28
871,90435-5fd62
872,d6d15-c249f
873,f9354-fe781
874,09a4b-1e142
875,38dba-e7f3a
876,a7320-3c706
877,8ea4a-12851
878,ecc16-8030e
879,31278-69449
880,968ab-adf91
881,c8359-0ab24
882,ffc42-e2952
883,cc28d-f5a24
884,dd6d5-825a3
885,b557a-21e56
886,50448-33ee2
887,a47da-a077f
888,d2c75-5209d
889,80f08-87674
890,2e2b4-e5b3a
891,38f95-4c6f9
892,ea481-5a000
893,9b6c3-8050c
894,bbb25-24e4c
895,16ec1-c0030
896,a58f9-ec024
897,746dd-4aedc
898,92443-127fa
899,0eb24-6d248
900,979f2-9ffab
901,e8ace-4521c
902,2006d-dc4eb
903,90490-cbb8d
904,7ce8b-f2072
905,2c2bf-98863
906,04b9b-e1df5
907,9da4f-416ca
908,d1f26-c65bd
909,d63bc-9d35d
910,dca3e-e4852
911,bc2aa-2888c
912,aaa51-3a97d
913,9bbc8-cee53
914,b32d8-1e591
915,5fc65-ef711
916,6b3e3-044eb
917,6236b-730ab
918,1dad4-94052
919,0638f-c57e7
920,14477-e5453
921,27dca-3b670
922,e800e-d9c49
923,6ab07-e8190
924,f1246-107fe
925,d9c00-1129a
926,50774-96149
927,adf44-6ead1
928,d9907-b6dff
929,684dc-f406e
930,1a5e9-982c3
931,19423-48018
932,d7786-55134
933,279b6-79aa0
934,d7512-dc0bd
935,9611c-eaa61
936,ba0f9-ee450
937,2643a-bfadb
938,ab089-020a2
939,e4f52-6f5f8
940,c0c94-d194b
941,38b52-7d561
942,cc9ab-5f3a1
943,dc88f-8da9e
944,be8b4-f7905
945,17b69-ed0c4
946,84caf-591ec
947,117e2-ac5d4
948,f5e95-4bdef
949,2afcd-0dab5
950,d6429-5cdd1
951,b994c-74306
952,72b07-26807
953,47f5c-0f401
954,32aa8-bed97
955,a08de-83d0d
956,31e21-58d65
957,acf65-4fde3
958,71b57-72409
959,87a25-d5e3f
960,51788-335fb
961,8f263-a3725
962,05f56-db7d0
963,d1c2a-f0ba3
964,872f8-01262
965,64314-28df0
966,446d1-a628a
967,11c2b-f1588
968,784f1-16354
969,126eb-c5b29
970,0e74f-f86ed
971,6b774-2e47b
972,3955a-c9217
973,442b8-0f0ca
974,79386-8c82e
975,2264d-d3cd8
976,007c4-813cb
977,7c3ed-07fea
978,b6ccc-9d90d
979,d50b0-3d1fd
980,44ef4-21174
981,b8287-eee89
982,2c8b3-957bd
983,39a4a-8caa6
984,c124e-032a4
985,5bc6d-70fd0
986,adc6b-19d5f
987,d52ed-8577f
988,97292-00b78
989,937ff-61feb
990,21869-de492
991,12dca-23246
992,fef3f-afdf2
993,88b0d-138eb
994,86139-c49a6
995,dc177-a3cc2
996,bbd84-50399
997,23338-df40a
998,7a076-6b502
999,af9c1-36e4e
1000,77cac-8047a
1001,c0a57-9c128
1002,cabdc-4db0e
1003,bfa09-a9ff1
1004,297a5-394d5
1005,5be5e-423b8
1006,62647-acb80
1007,5c339-45137
1008,229ee-5ded1
1009,cd3b1-5e2d0
1010,15ecf-6ba4d
1011,e241e-8e0c6
1012,2ca12-7c674
1013,dab9c-f4960
1014,96dbb-1d8a6
1015,732ec-c4f89
1016,ef2c4-d542d
1017,9e92a-f2d75
1018,5d4a4-2c809
1019,d18f3-5ba4a
1020,3928a-fdafb
1021,5d079-69f9a
1022,d7c34-e66e3
1023,e7289-059de
1024,6bc36-36dea
1025,fceeb-9a39a
1026,dd7fd-0623d
1027,861a6-48a67
1028,92e50-0164c
1029,b44c9-5426b
1030,4ae22-d88e1
1031,2a6b0-c4835
1032,76de0-eafa2
1033,210b4-a3d20
1034,80c35-6845f
1035,b7c3f-fe4bb
1036,e5359-ae53b
1037,ac1f9-aa7b1
1038,bdf48-570a7
1039,8a366-6b42f
1040,271fa-62af5
1041,d97a6-29b71
1042,2f221-f8e8d
1043,3b3cf-faffc
1044,14dd3-82125
1045,80ab4-268cd
1046,00b4e-84b08
1047,f63ef-7c70c
1048,bc811-de45a
1049,0cfe2-c1d3a
1050,a2c76-d18a9
1051,85647-7a84b
1052,692f2-ed924
1053,c45e0-456aa
1054,12ec8-9678f
1055,3f684-41cb1
1056,16deb-decae
1057,e460e-992dc
1058,bb935-379b2
1059,b2a2b-fd577
1060,e872d-97169
1061,e6b4c-8fab0
1062,add00-8df80
1063,873ca-d49c8
1064,84e61-c34be
1065,77711-3db26
1066,ce01e-e9777
1067,3bddd-ccfc4
1068,809a6-7d65f
1069,80bc4-d8335
1070,82ff3-f10f0
1071,aeee2-89d2f
1072,31ddf-34bce
1073,7be52-7c915
1074,f5ed6-e574f
1075,91f45-dfae5
1076,07db5-40c7c
1077,34a9f-5da86
1078,6c56d-e8b73
1079,2c0f1-06e43
1080,c868f-56128
1081,d9749-abfe0
1082,6e140-995ad
1083,0ac65-e9613
1084,8d8a6-a9f24
1085,1cd64-9f7cd
1086,aaf71-fa8e3
1087,3bb9c-e1c47
1088,ee909-fc03e
1089,4d360-6b50d
1090,2d66c-1c563
1091,6bb3f-eecfa
1092,01b5d-57aa4
1093,39722-36266
1094,d78af-c6f9d
1095,b6b9c-f756c
1096,d4ff2-30837
1097,e1eb7-099f7
1098,81ccf-852fb
1099,7da60-0cbb9
1100,0a565-ab10b
1101,7f6a8-3842e
1102,efd37-53321
1103,a0f71-d746c
1104,37376-2ab46
1105,0f3b4-db70e
1106,a0fba-fa89c
1107,87b88-43762
1108,1e803-1baea
1109,19e16-8c2bb
1110,cdd99-3113d
1111,c4ce4-64469
1112,94616-03a77
1113,b6d3b-5e5ab
1114,5c6f7-726bb
1115,67c4b-04d03
1116,e8b95-a1d98
1117,58204-f4185
1118,e3177-cb083
1119,44c85-49140
1120,0e566-d0fce
1121,364e1-22b92
1122,c5eda-fd716
1123,01d57-8ec16
1124,d06d7-eb832
1125,4e57f-8449a
1126,985fe-2c68e
1127,bc037-7f3cb
1128,f04cd-e3721
1129,397b9-d5be8
1130,a8c5d-73446
1131,35d20-7f600
1132,b405b-4eae6
1133,a4401-6192b
1134,0e1f5-efe94
1135,d081c-5bed6
1136,6aae7-0fcd3
1137,d001c-e7b47
1138,02b67-c7fef
1139,f1127-f409d
1140,e4c1e-660b1
1141,1372c-521cc
1142,6b851-80b0a
1143,37f7a-69eb4
1144,3744f-83e92
1145,88339-bf570
1146,e2a1c-195b8
1147,08728-64200
1148,9bec0-cf46c
1149,3763d-43449
1150,82579-f95ff
1151,3c7ac-8b9f7
1152,61cf0-3eb4f
1153,8722e-741e8
1154,ade06-ab902
1155,6275d-42f21
1156,b980f-6dbfd
1157,17a40-c8312
1158,99af3-66583
1159,82404-ca1fe
1160,d9a68-61322
1161,8f694-fd83b
1162,3821a-3e2d4
1163,ca2d8-e5342
1164,43bc5-e8f2d
1165,fb0d3-7e462
1166,bd95c-6d416
1167,4a5a1-e56f1
1168,d88a3-2fc87
1169,05518-9606b
1170,91e59-e6fdd
1171,e4853-4d29c
1172,13474-de1e3
1173,928d8-fc98c
1174,c0936-c8135
1175,d9fec-1a7da
1176,3ed11-27303
1177,ee301-cc0f3
1178,b11fd-4ac56
1179,7ebd4-4a0d5
1180,c9fed-5df33
1181,41676-0f099
1182,16cfe-1dc21
1183,0e27a-62585
1184,4f40f-f8b76
1185,5a2ef-750a0
1186,44c6a-33341
1187,03dee-05452
1188,a9480-4e94b
1189,ed956-fef87
1190,64b92-667f9
1191,49d32-3164c
1192,80844-7dd73
1193,5c652-e6b3c
1194,9086d-7781c
1195,7d695-479ab
1196,4e72f-84896
1197,203c9-e66cc
1198,18c2a-4529f
1199,16fed-9c404
1200,02226-825c8
1201,1b1f9-c5ab5
1202,c6ed0-eb29b
1203,eb0dd-b1fc9
1204,f1d5c-20332
1205,e9f68-344bf
1206,be55b-7fe3d
1207,4ee43-45857
1208,5a128-4b9a9
1209,195ba-dc81a
1210,41cb0-75a8f
1211,d1b62-98240
1212,b482b-c6012
1213,40787-0dc70
1214,28386-14f1b
1215,a6317-512ee
1216,99fec-b63ae
1217,12079-dc042
1218,da8f6-67b9d
1219,1d44a-01f0f
1220,93ee0-812d9
1221,cda46-8b6cb
1222,8a559-a6672
1223,a2934-a794e
1224,0a6b8-fbaf4
1225,3f449-38d40
1226,f9e55-86275
1227,eceef-b285a
1228,e5668-a4c63
1229,3e2a6-a4cc2
1230,9daca-a919c
1231,dd536-052de
1232,11c16-5f11c
1233,8e4b6-441b8
1234,c71eb-5ab12
1235,6fdd4-5635e
1236,b5b42-62dbb
1237,b6e85-4bc8d
1238,5d438-8231b
1239,534d5-a677a
1240,629c7-8a7af
1241,eb473-9ae70
1242,f38f7-9bd89
1243,6e8f7-fb4ad
1244,9acee-37a02
1245,ed504-d259f
1246,ecab0-5d401
1247,a19ea-8e1f6
